0000,25,25,112
0030,25,25,112
0100,25,25,112
0130,25,25,112
0200,25,25,112
0230,25,25,112
0300,25,25,112
0330,25,25,112
0400,25,25,112
0430,140,25,112
0500,255,130,112
0530,255,155,112
0600,255,177,115
0630,255,200,135
0700,255,219,170
0730,255,234,205
0800,255,249,240
0830,255,249,250
0900,239,245,255
0930,224,240,255
1000,215,235,255
1030,212,234,255
1100,210,233,255
1130,208,232,255
1200,207,231,255
1230,205,230,255
1300,204,229,255
1330,204,229,255
1400,206,230,255
1430,208,231,255
1500,213,232,255
1530,219,234,255
1600,229,239,255
1630,236,246,255
1700,255,252,251
1730,255,243,236
1800,255,225,202
1830,255,203,174
1900,255,178,129
1930,255,146,85
2000,255,93,38
2030,140,55,70
2100,25,25,112
2130,25,25,112
2200,25,25,112
2230,25,25,112
2300,25,25,112
2330,25,25,112
