0000,25,25,112
0030,25,25,112
0100,25,25,112
0130,25,25,112
0200,25,25,112
0230,25,25,112
0300,25,25,112
0330,62,25,95
0400,102,60,78
0430,140,78,61
0500,178,95,44
0530,214,113,27
0600,255,130,10
0630,255,139,22
0700,255,147,34
0730,255,155,46
0800,255,163,58
0830,255,172,70
0900,255,180,82
0930,255,189,93
1000,255,197,105
1030,255,205,117
1100,255,213,129
1130,255,222,141
1200,255,230,153
1230,255,222,143
1300,255,214,133
1330,255,206,124
1400,255,198,114
1430,255,191,104
1500,255,183,94
1530,255,175,84
1600,255,167,74
1630,255,159,64
1700,255,151,55
1730,255,143,45
1800,255,135,35
1830,214,116,45
1900,178,98,61
1930,140,80,74
2000,102,62,86
2030,63,44,99
2100,25,25,112
2130,25,25,112
2200,25,25,112
2230,25,25,112
2300,25,25,112
2330,25,25,112
