# Nacht (Tiefblau/Dunkelblau)
15,20,40,0,80,250
15,20,45,0,80,250
15,20,50,0,85,250
15,25,55,0,85,250
20,25,60,0,90,250
20,30,65,0,90,250
25,35,70,0,95,250

# Frühe Morgendämmerung (Blau → Violett)
35,40,80,0,100,250
45,45,90,0,105,250
55,50,100,0,110,250
70,55,110,0,115,250
85,60,115,0,120,250

# Morgendämmerung (Violett → Rosa → Orange)
100,65,120,0,125,250
120,75,125,0,130,250
140,85,130,0,135,250
160,95,135,0,140,250
180,105,140,0,145,250

# Sonnenaufgang (Orange → Gelb-Orange)
200,115,130,0,150,250
220,130,120,0,160,250
235,145,110,0,170,250
245,160,100,0,180,250
250,175,90,0,190,250

# Vormittag (Warm-Weiß)
255,190,100,0,200,250
255,205,120,0,210,250
255,220,140,0,220,250

# Mittag (Helles Weiß mit leichtem Blaustich)
255,245,200,0,230,250
255,250,220,0,240,250
255,255,240,0,250,250
255,255,250,0,255,250
255,250,240,0,250,250
255,245,220,0,240,250
255,240,200,0,230,250

# Nachmittag (Warm-Weiß)
255,225,160,0,220,250
255,210,140,0,210,250
255,195,120,0,200,250

# Später Nachmittag → Abend (Gelb-Orange)
250,180,100,0,190,250
245,165,90,0,180,250
235,150,80,0,170,250
220,135,70,0,160,250
200,120,60,0,150,250

# Sonnenuntergang (Orange → Rot → Violett)
180,100,50,0,140,250
160,85,60,0,135,250
140,70,70,0,130,250
120,60,80,0,125,250
100,50,90,0,120,250

# Abenddämmerung (Violett → Blau)
80,45,95,0,115,250
60,40,100,0,110,250
45,35,95,0,105,250
30,30,85,0,100,250
25,30,75,0,95,250
20,25,65,0,90,250
15,20,50,0,85,250
